domain,name,path,expires_utc,is_secure,is_httponly,creation_utc,expires_date,creation_date
www.msn.com,_C_Auth,/nl-nl/sport/voetbal/eredivisie/gamecenter,0,False,False,1.34161496677849E+016,Never,2026-02-21 20:14:27
.yahoo.com,dflow,/,1.34317017039843E+016,True,True,1.34161497039843E+016,2026-08-20 20:15:03,2026-02-21 20:15:03
www.amazon.com,csm-sid,/,1.3418516505E+016,False,False,1.34161497358691E+016,2026-03-21 05:41:45,2026-02-21 20:15:35
www.kohls.com,AKA_ACM,/,1.34317017813153E+016,True,False,1.34161497813153E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_CBCC,/,1.34317017813151E+016,True,False,1.34161497813151E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_CDP2,/,1.34317017813153E+016,True,False,1.34161497813153E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_CNC2,/,1.34317017813151E+016,True,False,1.34161497813151E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_EXP,/,1.34162361813154E+016,True,False,1.34161497813154E+016,2026-02-22 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_HP2,/,1.34317017813152E+016,True,False,1.34161497813152E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_PDP2,/,1.34317017813152E+016,True,False,1.34161497813152E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_PIQ,/,1.34317017813153E+016,True,False,1.34161497813153E+016,2026-08-20 20:16:21,2026-02-21 20:16:21
www.kohls.com,AKA_PMP_YP100,/,1.34162361813153E+016,True,False,1.34161497813153E+016,2026-02-22 20:16:21,2026-02-21 20:16:21
